name,position,number,teamName
Karim Benzema,Delantero,9,Real Madrid
Luka Modric,Centrocampista,10,Real Madrid
Thibaut Courtois,Portero,1,Real Madrid
Robert Lewandowski,Delantero,9,Barcelona FC
Pedri González,Centrocampista,8,Barcelona FC
Marc-André ter Stegen,Portero,1,Barcelona FC
Marcus Rashford,Delantero,10,Manchester United
Bruno Fernandes,Centrocampista,18,Manchester United
David de Gea,Portero,1,Manchester United
Thomas Müller,Delantero,25,Bayern Munich
Joshua Kimmich,Centrocampista,6,Bayern Munich
Manuel Neuer,Portero,1,Bayern Munich
